Prediction,Target,Machine Percentage,Similarity Percent,Occurances,Count
greedy algorithm,distributed greedy algorithm,0.373361975,0.3,1,1077
,,,,,
distributed algorithm,distributed greedy algorithm,0.724396646,0.4,1,1078
,,,,,
asynchronous broadcast,ad hoc network,0.273023367,0.2,1,1079
,,,,,
k dominating set,dominating set,0.315689176,0.4,1,1080
,,,,,
"['greedy algorithm', 'distributed algorithm', 'asynchronous broadcast', 'k dominating set']","['dominating set', 'routing', 'distributed greedy algorithm', 'ad hoc network']",N/A,0.3,1,1081
,,,,,
transformation performance,transformation performance,1,0.5,1,1082
,,,,,
undesirable output,transformation performance,-0.043505576,0.1,1,1083
,,,,,
malmquist resource performance index,transformation performance,0.133780539,0.3,1,1084
,,,,,
sigma convergence test,convergence test,0.535939634,0.2,1,1085
,,,,,
absolute beta convergence test,convergence test,0.438012064,0.3,1,1086
,,,,,
conditional beta convergence test,convergence test,0.450825423,0.4,1,1087
,,,,,
"['transformation performance', 'undesirable output', 'malmquist resource performance index', 'sigma convergence test', 'absolute beta convergence test', 'conditional beta convergence test']","['convergence test', 'transformation performance', 'resource cities']",N/A,0.5,1,1088
,,,,,
ant colony optimization,ant colony optimization,0.999999762,1,1,1089
,,,,,
clustering,clustering,1.000000238,1,1,1090
,,,,,
multi objective,multiple objectives,0.656000078,0.8,1,1091
,,,,,
swarm intelligence,clustering,0.099394388,1,1,1092
,,,,,
"['ant colony optimization', 'clustering', 'multi objective', 'swarm intelligence']","['ant colony optimization', 'clustering', 'data set reduction', 'multiple objectives']",N/A,0.2,1,1093
,,,,,
euclidean distance,euclidean distance,1,1,1,1094
,,,,,
privacy preserving data mining,data mining,0.37261489,0.2,1,1095
,,,,,
privacy breach,privacy,0.440175474,0.5,1,1096
,,,,,
data perturbation attack,data perturbation,0.696448445,0.7,1,1097
,,,,,
"['euclidean distance', 'privacy preserving data mining', 'privacy breach', 'data perturbation attack']","['euclidean distance', 'data perturbation', 'privacy', 'data mining']",N/A,0.5,1,1098
,,,,,
augmentation,augmented image synthesis,0.402748376,0.4,1,1099
,,,,,
camera image,augmented image synthesis,0.061022289,0.2,1,1100
,,,,,
near field illumination,global illumination,0.355505705,0.3,1,1101
,,,,,
importance sampling,global illumination,-0.053225264,0.3,1,1102
,,,,,
shadow maps,global illumination,0.098531194,0.2,1,1103
,,,,,
hdr,global illumination,-0.157196954,0.1,1,1104
,,,,,
"['augmentation', 'camera image', 'near field illumination', 'importance sampling', 'shadow maps', 'hdr']","['global illumination', 'augmented image synthesis']",N/A,0.21,1,1105
,,,,,
dynamic programming,dynamic programming,1,1,1,1106
,,,,,
approximation algorithms,approximation algorithm,0.918174863,1,1,1107
,,,,,
sequence alignment,local alignment,0.394812137,0.12,1,1108
,,,,,
local alignment,local alignment,0.999999762,1,1,1109
,,,,,
fractional programming,fractional programming,1,1,1,1110
,,,,,
snp,dynamic programming,-0.076503389,0.04,1,1111
,,,,,
"['dynamic programming', 'approximation algorithms', 'sequence alignment', 'local alignment', 'fractional programming', 'snp']","['dynamic programming', 'approximation algorithm', 'local alignment', 'cyclic sequence comparison', 'fractional programming', 'normalized local alignment', 'length restricted local alignment', 'ratio maximization']",N/A,0.03,1,1112
,,,,,
timing behaviour,learning to time model,0.002438293,0.23,1,1113
,,,,,
peak interval procedure,peak procedure,0.582863331,0.12,1,1114
,,,,,
akaike information criterion,akaike information criterion,1.000000238,0.32,1,1115
,,,,,
learning to time model,learning to time model,1,1,1,1116
,,,,,
scalar expectancy model,scalar expectancy theory,0.857108057,0.32,1,1117
,,,,,
"['timing behaviour', 'peak interval procedure', 'akaike information criterion', 'learning to time model', 'scalar expectancy model']","['scalar expectancy theory', 'basic clock speed', 'peak procedure', 'scalar property', 'akaike information criterion', 'learning to time model']",N/A,0.43,1,1118
,,,,,
support vector machines,support vector machines,1,1,1,1119
,,,,,
classification,classification,1,1,1,1120
,,,,,
regression,regression,1,0.11,1,1121
,,,,,
libsvm,support vector machines,0.018056318,1,1,1122
,,,,,
bias variance decomposition,classification,0.11947909,1,1,1123
,,,,,
svm benchmarking,comparative study,0.098148957,0.1,1,1124
,,,,,
"['support vector machines', 'classification', 'regression', 'libsvm', 'bias variance decomposition', 'svm benchmarking']","['support vector machines', 'benchmark', 'classification', 'regression', 'comparative study']",N/A,0.2,1,1125
,,,,,
cascade,tables,0.198974192,0.1,1,1126
,,,,,
mobile,auto transformation,0.293403864,0.1,1,1127
,,,,,
column row expansion,auto transformation,0.172019735,0.1,1,1128
,,,,,
data access table,tables,0.177021667,0.43,1,1129
,,,,,
data migration,auto transformation,0.272788852,0.21,1,1130
,,,,,
"['cascade', 'mobile', 'column row expansion', 'data access table', 'data migration']","['tables', 'small screen', 'handheld device', 'pda', 'auto transformation', 'focus context']",N/A,0.43,1,1131
,,,,,
polynomials over the reals,polynomial orderings,0.171288088,0.34,1,1132
,,,,,
termination,termination,0.999999583,1,1,1133
,,,,,
rewriting,program analysis,0.115292184,0.12,1,1134
,,,,,
algebraic real co efficients,polynomial orderings,0.126544744,0.32,1,1135
,,,,,
first order logic,polynomial orderings,0.185971007,0.12,1,1136
,,,,,
real closed fields,program analysis,-0.073040627,0.1,1,1137
,,,,,
tarski's logic,program analysis,0.046269193,0.12,1,1138
,,,,,
"['polynomials over the reals', 'termination', 'rewriting', 'algebraic real co efficients', 'first order logic', 'real closed fields', ""tarski's logic""]","['termination', 'program analysis', 'term rewriting', 'polynomial orderings']",N/A,0.32,1,1139
,,,,,
coherent energy,coherent energy,1,1,1,1140
,,,,,
cognitive radio,cognitive radio,1.000000238,1,1,1141
,,,,,
time correlation law,random matrix theory,0.201868266,0.1,1,1142
,,,,,
gaussian colored noise,colored noise,0.600722194,0.1,1,1143
,,,,,
spectral analysis,random matrix theory,0.191003159,0.1,1,1144
,,,,,
"['coherent energy', 'cognitive radio', 'time correlation law', 'gaussian colored noise', 'spectral analysis']","['coherent energy', 'cognitive radio', 'colored noise', 'random matrix theory']",N/A,0.32,1,1145
,,,,,
scheduling,quality information delivery,0.022084067,0.12,1,1146
,,,,,
mobile ad hoc networks,mobile ad hoc networks,1,1,1,1147
,,,,,
optimal stopping,optimal stopping theory,0.656948805,0.78,1,1148
,,,,,
quality of service,quality information delivery,0.406814814,0.3,1,1149
,,,,,
"['scheduling', 'mobile ad hoc networks', 'optimal stopping', 'quality of service']","['mobile ad hoc networks', 'optimal stopping theory', 'quality information delivery']",N/A,0.12,1,1150
,,,,,
semantic analysis,semantic analysis,1,1,1,1151
,,,,,
information extraction,information extraction,1,1,1,1152
,,,,,
ontology,ontology,1,1,1,1153
,,,,,
terrorism,owl,0.323827624,0.1,1,1154
,,,,,
semantic web,semantic analysis,0.676080823,0.2,1,1155
,,,,,
"['semantic analysis', 'information extraction', 'ontology', 'terrorism', 'semantic web']","['nlp', 'semantic analysis', 'information extraction', 'natural language processing', 'intelligent analysis', 'ontology', 'modeling', 'owl']",N/A,0.4,1,1156
,,,,,
training strategies,stable training,0.281895399,0.1,1,1157
,,,,,
variable structure systems,variable structure systems,1,1,1,1158
,,,,,
global stability,stable training,0.149923816,0.2,1,1159
,,,,,
gradient descent,gradient descent,0.999999762,0.1,1,1160
,,,,,
fuzzy control,fuzzy control,1,1,1,1161
,,,,,
lyapunov stability,stable training,-0.073883273,0.1,1,1162
,,,,,
"['training strategies', 'variable structure systems', 'global stability', 'gradient descent', 'fuzzy control', 'lyapunov stability']","['variable structure systems', 'gradient descent', 'fuzzy control', 'stable training']",N/A,0.23,1,1163
,,,,,
recruit distribution,recruit distribution,1.000000238,1,1,1164
,,,,,
decision support system,decision support system,0.999999762,1,2,1165
,,,,,
data integrity,manpower modeling,0.092906006,0.32,1,1166
,,,,,
marine personnel management,manpower modeling,0.273227096,0.12,1,1167
,,,,,
decision making,decision support system,0.441961318,0.32,1,1168
,,,,,
"['recruit distribution', 'decision support system', 'data integrity', 'marine personnel management', 'decision making', 'decision support system']","['recruit distribution', 'decision support system', 'manpower modeling']",N/A,0.45,1,1169
,,,,,
lattice boltzmann method,lattice boltzmann methods,0.931614101,0.96,1,1170
,,,,,
homogenization,unsaturated soil physics,-0.057736572,0.1,1,1171
,,,,,
multiphase flow,lattice boltzmann methods,-0.05530306,0.1,1,1172
,,,,,
virtual soil,unsaturated soil physics,0.075379126,0.1,1,1173
,,,,,
water content,unsaturated soil physics,-0.074600734,0.32,1,1174
,,,,,
"['lattice boltzmann method', 'homogenization', 'multiphase flow', 'virtual soil', 'water content']","['lattice boltzmann methods', 'unsaturated soil physics']",N/A,0.1,1,1175
,,,,,
sampling,sampling framework,0.547095835,0.65,1,1176
,,,,,
anomaly detection,anomaly detection,0.999999762,1,1,1177
,,,,,
next generation network,next generation network,0.999999762,1,1,1178
,,,,,
traffic monitoring,traffic measurement,0.759975791,0.45,1,1179
,,,,,
"['sampling', 'anomaly detection', 'next generation network', 'traffic monitoring']","['sampling framework', 'anomaly detection', 'next generation network', 'scalability', 'traffic measurement', 'accuracy']",N/A,0.12,1,1180
,,,,,
separator,optimization,-0.050646238,0.12,1,1181
,,,,,
polyhedra,polyhedra,1,1,1,1182
,,,,,
complexity,complexity theory,0.567920923,0.54,1,1183
,,,,,
approximation algorithms,approximation algorithms,0.999999762,1,1,1184
,,,,,
graph algorithms,graph partitioning,0.407666802,0.54,1,1185
,,,,,
k ) free graphs,graph partitioning,-0.03436359,0.21,4,1186
,,,,,
"['separator', 'polyhedra', 'complexity', 'approximation algorithms', 'graph algorithms', 'k ) free graphs', 'k ) free graphs', 'k ) free graphs', 'k ) free graphs']","['polyhedra', 'approximation algorithms', 'graph partitioning', 'complexity theory', 'optimization']",N/A,0.34,1,1187
,,,,,
z isomers,atoms in molecules,-0.092484578,0.21,1,1188
,,,,,
phenylflavans,phenylflavans,1,1,1,1189
,,,,,
pcm,molecular dipole moment,-0.0036192,0.32,1,1190
,,,,,
atoms in molecules,atoms in molecules,1,1,1,1191
,,,,,
natural bond orbital,natural bond orbital analysis,0.430349231,1,1,1192
,,,,,
intrinsic properties,antioxidants,0.02032393,0.32,1,1193
,,,,,
polar solvent,aqueous solvent effect,0.216365397,0.43,1,1194
,,,,,
reactivity,aqueous solvent effect,-0.10903281,0.23,2,1195
,,,,,
df,phenylflavans,-0.226061657,0.1,1,1196
,,,,,
"['z isomers', 'phenylflavans', 'pcm', 'atoms in molecules', 'natural bond orbital', 'intrinsic properties', 'polar solvent', 'reactivity', 'reactivity', 'df']","['phenylflavans', 'antioxidants', 'atoms in molecules', 'aqueous solvent effect', 'molecular dipole moment', 'natural bond orbital analysis']",N/A,0.21,1,1197
,,,,,
architecture,architecture,1.000000238,1,1,1198
,,,,,
cybernetics,cybernetics,1,1,1,1199
,,,,,
art,technology,0.17914018,0.2,1,1200
,,,,,
design practice,technology,0.204259858,0.12,1,1201
,,,,,
"['architecture', 'cybernetics', 'art', 'design practice']","['metaphor', 'experience', 'aesthetics', 'architecture', 'technology', 'cybernetics']",N/A,0.05,1,1202
,,,,,
agent technologies,agent technologies,1,1,1,1203
,,,,,
sensor networks,sensor networks,1,1,1,1204
,,,,,
multi agent systems,sensor networks,0.254299432,0.12,1,1205
,,,,,
agent based systems,agent technologies,0.400406897,0.23,1,1206
,,,,,
agent based modeling,agent technologies,0.303029537,0.3,7,1207
,,,,,
"['agent technologies', 'sensor networks', 'multi agent systems', 'agent based systems', 'agent based modeling', 'agent based modeling', 'agent based modeling', 'agent based modeling', 'agent based modeling', 'agent based modeling', 'agent based modeling']","['agent technologies', 'sensor networks', 'networks']",N/A,0.43,1,1208
,,,,,
consensus,group consensus opinion,0.300114781,0.43,1,1209
,,,,,
group decision making,multi criteria decision making,0.575591981,0.43,1,1210
,,,,,
weighted dissimilarity,group consensus opinion,-0.092380591,0.1,1,1211
,,,,,
fuzzy sets,fuzzy numbers,0.606124103,0.23,1,1212
,,,,,
fuzzy numbers,fuzzy numbers,0.999999762,1,1,1213
,,,,,
"['consensus', 'group decision making', 'weighted dissimilarity', 'fuzzy sets', 'fuzzy numbers']","['fuzzy individual opinions', 'fuzzy opinions aggregation', 'group consensus opinion', 'fuzzy numbers', 'multi criteria decision making']",N/A,0.12,1,1214
,,,,,
multiscale bagging,bagging,0.18403241,0.32,1,1215
,,,,,
active learning,active learning,1.000000238,1,1,1216
,,,,,
resampling bootstrap,bagging,0.036500257,0.12,1,1217
,,,,,
"['multiscale bagging', 'active learning', 'resampling bootstrap']","['bagging', 'active learning', 'confidence level', 'classification']",N/A,0.32,1,1218
,,,,,
low power,low power,1,1,1,1219
,,,,,
binding,bound estimation,0.309260041,0.32,1,1220
,,,,,
lagrange multipliers,power estimation,0.065737545,0.43,1,1221
,,,,,
resource sharing,power dissipation,0.303439915,0.23,1,1222
,,,,,
high level synthesis,high level synthesis,1,1,1,1223
,,,,,
data flow analysis,power estimation,0.333848536,0.12,1,1224
,,,,,
scheduling algorithms,power estimation,0.126325145,0.32,1,1225
,,,,,
"['low power', 'binding', 'lagrange multipliers', 'resource sharing', 'high level synthesis', 'data flow analysis', 'scheduling algorithms']","['low power', 'high level synthesis', 'bound estimation', 'power dissipation', 'power estimation', 'switching activity']",N/A,0.32,1,1226
,,,,,
perceived risk,perceived risk,1,1,1,1227
,,,,,
technology type,technology type,1,1,1,1228
,,,,,
technology adoption,technology acceptance,0.802291274,0.67,1,1229
,,,,,
user experience,user experience,1.000000238,1,1,1230
,,,,,
gender,gender,0.999999762,1,1,1231
,,,,,
technology acceptance model,technology acceptance,0.661304116,0.67,1,1232
,,,,,
"['perceived risk', 'technology type', 'technology adoption', 'user experience', 'gender', 'technology acceptance model']","['perceived risk', 'technology type', 'moderating variable', 'user experience', 'gender', 'technology acceptance', 'utaut']",N/A,0.54,1,1233
,,,,,
latin hypercube method,finite element method,0.258427203,0.14,1,1234
